FID,Shape,Nama Kelom,Nama,Alamat Len,Kategori P,Status Pro,Harga Prop,Luas Bangu,Luas Tanah,Jenis Sert,Dokumentas,NTL,KEP2025,EKON2025,Dekat Exit Tol,Bandar Udara,Kebun/Perkebunan,Permukiman Perdesaan,Permukiman Perkotaan,Permukiman Semi Desa,Rumput/Tanah Kosong,Sawah irigasi,Tegalan/Ladang,Rasio Luas Bangunan,LatLong,Latitude,Longitude
22,Point,Propix,CV Yussuf & Co,"Jl. Melati No.15, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Gudang,Jual,7700000000,1100.0,1400.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741841354786_img_%25a_%25f982ae2f-edc3-46cf-8759-7669fae6d9e3.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.06,0.0,0.28,0.61,0.0,0.11,0.0,0.7857142857142857,"-7.772220518206477, 110.43311486816943",-7.772220518206477, 110.43311486816943
23,Point,Propix,Rumah Adisucipto,"Jl. Raya Berbah, Wotgaleh, Sendangtirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,850000000,110.0,114.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741834280655_img_%25b_%25564ade94-48ec-4f2e-a575-c5ad59090c3a.jpeg,Sedang,Sedang,Sedang,Tidak,0.0,0.06,0.06,0.0,0.5,0.11,0.06,0.06,0.9649122807017544,"-7.8045759295548365, 110.42892463775863",-7.8045759295548365, 110.42892463775863
25,Point,Propix,Gudang Prambanan,"Jl. Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Gudang,Jual,7000000000,850.0,1523.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741959854687_img_%25a_%25d691bc89-053f-41e5-a5b9-0063d8038749.jpeg,Sedang,Sedang,Sedang,Tidak,0.0,0.06,0.0,0.0,0.33,0.0,0.17,0.06,0.5581089954038083,"-7.7605524,110.4884367",-7.7605524,110.4884367
26,Point,Propix,Perumahan Sanggrahan Asri,"B9, RT.21/RW.01, Sanggrahan, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,350000000,36.0,75.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847234942_img_%25e_%254dcb90ea-8469-4392-833d-3e3eb1aac730.jpeg,Sedang,Sedang,Sedang,Tidak,0.0,0.0,0.17,0.0,0.5,0.0,0.28,0.0,0.48,"-7.735771589511329, 110.45745248940995",-7.735771589511329, 110.45745248940995
27,Point,Propix,Pabrik Asbes Teraflex,"Jl. Solo No.Km 12,5, Karang Kalasan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Gudang,Jual,16800000000,7181.0,10284.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741841544930_img_%25b_%258bea48ff-ca38-4d8b-8ec0-bc8b046fdfe5.jpeg,Sedang,Sedang,Sedang,Iya,0.0,0.06,0.0,0.0,0.39,0.0,0.56,0.0,0.6982691559704395,"-7.7742934013543765, 110.460224",-7.7742934013543765, 110.460224
28,Point,Propix,Toko Raya Candi Gebang,"Perum Candi Gebang Blok II - 22, Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",Ruko,Jual,3300000000,274.0,137.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741959689646_img_%25a_%25137534ff-c416-4d4f-97ca-a9c63a8a7b64.jpeg,Sedang,Sedang,Sedang,Tidak,0.0,0.22,0.0,0.06,0.56,0.0,0.17,0.0,2.0,"-7.744232985537861, 110.41291448071283",-7.744232985537861, 110.41291448071283
29,Point,Propix,Perum Bimomartani,"Jl. Cangkringan No.52, Area Sawah, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Rumah,Jual,450000000,45.0,99.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742012350926_img_%25f_%25130cd56d-3784-40e5-969a-8f417b62450b.jpeg,Rendah,Sedang,Sedang,Tidak,0.0,0.06,0.44,0.0,0.0,0.0,0.67,0.0,0.45454545454545453,"-7.6994604,110.4565283",-7.6994604,110.4565283
30,Point,Propix,Mataram City,"Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,650000000,34.0,34.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1742004293891_img_%25a_%25d1d08387-8096-4126-ad8a-2bd6171d1e25.jpeg,Tinggi,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.67,1.0,0.11,0.22,0.0,1.0,"-7.738912303323788, 110.37728139371265",-7.738912303323788, 110.37728139371265
30,Point,Propix,Mataram City,"Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,650000000,34.0,34.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1742004293891_img_%25a_%25d1d08387-8096-4126-ad8a-2bd6171d1e25.jpeg,Tinggi,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.67,1.0,0.11,0.22,0.0,1.0,"-7.739108002238334, 110.377271009617",-7.739108002238334, 110.377271009617
32,Point,Propix,Patraland Amarta,"Jl. Palagan Tentara Pelajar No.KM 7, RW.5, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,600000000,28.0,28.0,SHMSRS,https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741966511552_img_%25d_%25fbd48e03-a7a6-44b5-b1fc-e34f26639b56.jpeg,Tinggi,Sedang,Tinggi,Tidak,0.0,0.0,0.0,0.28,0.5,0.06,0.17,0.0,1.0,"-7.734331428556337, 110.37842937301062",-7.734331428556337, 110.37842937301062
