FID;Shape;Nama Kelom;Nama Prope;Alamat Len;Kategori P;Status Pro;Harga Prop;Luas Bangu;Luas Tanah;Jenis Sert;Dokumentas;NTL;KEP2025;EKON2025;Dekat Exit Tol;Bandar Udara;Kebun/Perkebunan;Permukiman Perdesaan;Permukiman Perkotaan;Permukiman Semi Desa;Rumput/Tanah Kosong;Sawah irigasi;Tegalan/Ladang
20;Point;Propix;Ruko Gejayan;Jl. Affandi No.28, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Ruko;Jual;6000000000;250;110;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741802672326_img_%25c_%25f0286127-6257-4920-b36e-4cc4ba5e5e14.jpeg;Tinggi;Tinggi;Tinggi;Tidak;0%;0%;0%;94%;0%;0%;0%;0%
21;Point;Propix;Hyarta Ecovillage;Jl. Laksda Adisucipto km 8,5, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282;Rumah;Jual;3800000000;125;157;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847635605_img_%25b_%2514091ce6-b94e-406e-bc72-a709c6134d02.jpeg;Sedang;Tinggi;Tinggi;Tidak;17%;6%;6%;28%;22%;0%;11%;0%
22;Point;Propix;CV Yussuf & Co;Jl. Melati No.15, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281;Gudang;Jual;7700000000;1100;1400;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741841354786_img_%25a_%25f982ae2f-edc3-46cf-8759-7669fae6d9e3.jpeg;Sedang;Tinggi;Tinggi;Tidak;0%;6%;0%;28%;61%;0%;11%;0%
23;Point;Propix;Rumah Adisucipto;Jl. Raya Berbah, Wotgaleh, Sendangtirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;850000000;110;114;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741834280655_img_%25b_%25564ade94-48ec-4f2e-a575-c5ad59090c3a.jpeg;Sedang;Sedang;Sedang;Tidak;0%;6%;6%;0%;50%;11%;6%;6%
24;Point;Propix;Karta Virendra;Kalitirto, Berbah, Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;564000000;36;85;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741802490443_img_%25e_%25f05f3d37-9424-4d42-b06e-7f3bd9ff0db7.jpeg;Rendah;Sedang;Sedang;Tidak;0%;17%;17%;0%;28%;0%;33%;6%
25;Point;Propix;Gudang Prambanan;Jl. Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571;Gudang;Jual;7000000000;850;1523;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741959854687_img_%25a_%25d691bc89-053f-41e5-a5b9-0063d8038749.jpeg;Sedang;Sedang;Sedang;Tidak;0%;6%;0%;0%;33%;0%;17%;6%
26;Point;Propix;Perumahan Sanggrahan Asri;B9, RT.21/RW.01, Sanggrahan, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;350000000;36;75;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741847234942_img_%25e_%254dcb90ea-8469-4392-833d-3e3eb1aac730.jpeg;Sedang;Sedang;Sedang;Tidak;0%;0%;17%;0%;50%;0%;28%;0%
27;Point;Propix;Pabrik Asbes Teraflex;Jl. Solo No.Km 12,5, Karang Kalasan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571;Gudang;Jual;16800000000;7181;10284;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741841544930_img_%25b_%258bea48ff-ca38-4d8b-8ec0-bc8b046fdfe5.jpeg;Sedang;Sedang;Sedang;Iya;0%;6%;0%;0%;39%;0%;56%;0%
28;Point;Propix;Toko Raya Candi Gebang;Perum Candi Gebang Blok II - 22, Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283;Ruko;Jual;3300000000;274;137;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741959689646_img_%25a_%25137534ff-c416-4d4f-97ca-a9c63a8a7b64.jpeg;Sedang;Sedang;Sedang;Tidak;0%;22%;0%;6%;56%;0%;17%;0%
29;Point;Propix;Perum Bimomartani;Jl. Cangkringan No.52, Area Sawah, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584;Rumah;Jual;450000000;45;99;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742012350926_img_%25f_%25130cd56d-3784-40e5-969a-8f417b62450b.jpeg;Rendah;Sedang;Sedang;Tidak;0%;6%;44%;0%;0%;0%;67%;0%
30;Point;Propix;Mataram City;Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;650000000;34;34;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1742004293891_img_%25a_%25d1d08387-8096-4126-ad8a-2bd6171d1e25.jpeg;Tinggi;Sedang;Tinggi;Tidak;0%;0%;0%;67%;100%;11%;22%;0%
31;Point;Propix;Mataram City a;Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;650000000;34;28;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741967414078_img_%25d_%251353d9b3-cef8-4792-ab8f-699408247aaa.jpeg;Tinggi;Sedang;Tinggi;Tidak;0%;0%;0%;67%;100%;11%;22%;0%
32;Point;Propix;Patraland Amarta;Jl. Palagan Tentara Pelajar No.KM 7, RW.5, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;600000000;28;28;SHMSRS;https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741966511552_img_%25d_%25fbd48e03-a7a6-44b5-b1fc-e34f26639b56.jpeg;Tinggi;Sedang;Tinggi;Tidak;0%;0%;0%;28%;50%;6%;17%;0%
33;Point;Propix;Mataram City Yogyakarta (MICC);Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Apartemen;Jual;750000000;37;37;Sertifikat Hak Guna Bangunan (SHGB);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741846077076_img_%25e_%25e13a3e72-f06d-466b-a454-67630a7f7485.jpeg;Tinggi;Sedang;Tinggi;Tidak;0%;0%;0%;33%;50%;6%;11%;0%
34;Point;Propix;Ruko Monjali;Jl. Monumen Jogja Kembali No.31, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;Ruko;Jual;3900000000;280;194;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134395937_img_%25a_%2569a27858-857b-44b5-8a26-092e6fac04af.jpeg;Tinggi;Sedang;Tinggi;Tidak;0%;0%;0%;83%;22%;0%;0%;0%
35;Point;Propix;Patra Residence Palagan;Jl. Palagan Tentara Pelajar No.Km 10, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581;Rumah;Jual;4390499999;180;200;Sertifikat Hak Milik (SHM);https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742536128953_img_%25b_%2503d0879d-8e73-4149-b766-6b160edb205b.jpeg;Sedang;Sedang;Tinggi;Tidak;0%;0%;0%;0%;39%;0%;61%;0%
